"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-01",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-02",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-03",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-04",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-05",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-06",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-07",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-08",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-09",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-10",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-15",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-16",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-17",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-18",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-19",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-20",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-21",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-22",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-23",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-24",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-25",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-26",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-27",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-29",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-30",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-01-31",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-02-01",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-02-02",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-02-03",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-02-04",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-02-05",,,,,,,,
"US1CAAL0045","OAKLAND 4.9 NNE, CA US","37.840233","-122.20265","2888.9","2019-02-06",,,,,,,,
